pid,reviews,tag,dname,department
137,the doctor was not available at the time when we arrived and was asked for 2hours to wait we travelled 20km with heavy traffic it took morethan an hour to reach nd we called 30min before the appointment time to confirm the appointment that time even they didn’t inform anything wouldn’t suggest this doctor who isn’t available when people need it even after taking appointment,negative,Dr. Priya Reddy,Dermatology
17,from the endoscopy got to know i have infected with h pylori and the medicine prescribed by the doctor helped in recovering after having course for 2 weeks as suggested by the doctor,positive,Dr. Arjun Desai,Dermatology
88,she not touch patientin many they are touch patient with blousesafter that they wash their handsi am so sad that day i was visit do many doctori don't faced these type of problem anywherefor one day i pay 1000 rupeestotally i have had experience with that doctor,negative,Dr. Nandini Kapoor,Psychiatry
107,it was first time we visited kushi experience was not really good took appointment at 10 am did registration which took almost 2 hour their intention is to collect money from the patient i spent more than 10 laksh nothing happened if u see progress is zero,negative,Dr. Vikram Mehta,Psychiatry
16,well experiencedlistening to patient problemsexplaining them the reason and treatmentoverall it was a very good experience with doctor and completely satisfied with his treatment,positive,Dr. Anjali Gupta,Psychiatry
78,hoped for better doctor friendlinessexplanation of the health issuevalue for money,negative,Dr. Raj Singhania,Psychiatry
4,explanation and gives minimum medicinereliable!! the best part is he listens to your problem carefully,positive,Dr. Ananya Sharma,Dermatology
77,i went to colonoscopy test but it is not availble in the clinic he asked to come nijampet he is hurry burry,negative,Dr. Rohit Patel,Dermatology
14,very good experience for me thank god he is a very good person and a good doctor for diabetes patients,positive,Dr. Priya Reddy,Dermatology
109,doctor's attitude was not at all pleasing and very unkind his not even good in his own work and sometimes gives banned drugs too and expired drugs,negative,Dr. Arjun Desai,Dermatology
30,happy with doctor friendlinessexplanation of the health issuetreatment satisfactionvalue for moneywait time the way he understands the patient is remarkable the treatment plan is outstanding you feel safe no matter what ur health condition is as you know you will be well treated,positive,Dr. Nandini Kapoor,Psychiatry
43,this was my second visit to the doctor he explains the problem and it needs to be treated am very much satisfied with the treatment the approach makes you feel strong,positive,Dr. Vikram Mehta,Psychiatry
131,first of all i didn't get to meet the doctor with whom my appointment was bookedso not a good experience,negative,Dr. Anjali Gupta,Psychiatry
102,warning! fraud doctor with fake degree has no idea of medicalhe will kill you if you have a chronic illness don't go to him he is a big fraud,negative,Dr. Raj Singhania,Psychiatry
20,doctor is explaining every detail and he is understanding everything immediately so i am strongly recommend to consult the doctor,positive,Dr. Ananya Sharma,Dermatology
9,first thing he listens to the problem very carefully then discuss about the same give good advice for protection and curing advice step by step instructions to take care,positive,Dr. Rohit Patel,Dermatology
110,dr is not ready to talk he writes for test and ask s to meet later later he will ask his assistant to explain about tablets patient will never get chance to discuss about tests made and we did not receive any advice about what to eat and what physical activity is needed we can get tests done outside too and explaining him about irregularities in report,negative,Dr. Priya Reddy,Dermatology
71,doc just spent 3-5 minutes time to review on full body checkup tests for my mother he left with a reason that he had an urgent meeting why the hospital gave appointment if the doctor is busy ?,negative,Dr. Arjun Desai,Dermatology
28,very friendly and his approach is also very good clearly explaining the problem and very positive approach i would highly recommend him,positive,Dr. Nandini Kapoor,Psychiatry
119,overall had a very bad experience and the hospital is not at all professional,negative,Dr. Vikram Mehta,Psychiatry
117,i have booked appointment and visited the hospital i could say that it was very worst experience and i would not like to recommend this doctor for other also,negative,Dr. Anjali Gupta,Psychiatry
52,Had a great experience with this doctor. Very professional and caring. I felt heard and understood during the entire appointment.,positive,Dr. Raj Singhania,Psychiatry
69,Exceptional expertise and a genuinely caring approach to patient concerns. Highly recommend.,positive,Dr. Ananya Sharma,Dermatology
69,"The office staff was friendly and efficient. Overall, a positive experience.",positive,Dr. Rohit Patel,Dermatology
44,Outstanding service from the doctor. Thorough and attentive care. Will definitely be returning.,positive,Dr. Priya Reddy,Dermatology
35,Very impressed with the doctor's knowledge and communication skills. Made me feel comfortable and well-informed.,positive,Dr. Arjun Desai,Dermatology
38,"The entire staff is welcoming, and the doctor takes the time to address all concerns. A great healthcare experience.",positive,Dr. Nandini Kapoor,Psychiatry
50,I appreciate the dedication to staying up-to-date with the latest medical advancements. Trustworthy and reliable.,positive,Dr. Vikram Mehta,Psychiatry
39,A compassionate and patient-centered approach to healthcare. Thank you for the excellent care.,positive,Dr. Anjali Gupta,Psychiatry
97,Professional and approachable. The doctor goes above and beyond for patient well-being.,positive,Dr. Raj Singhania,Psychiatry
92,I've been a patient for years and have always received top-notch care. Highly satisfied with the service.,positive,Dr. Ananya Sharma,Dermatology
98,Thorough and detail-oriented care. The doctor takes the time to explain things clearly. Impressed.,positive,Dr. Rohit Patel,Dermatology
59,The level of care provided is exemplary. A truly exceptional healthcare professional.,positive,Dr. Priya Reddy,Dermatology
80,Always a positive experience at this practice. The doctor is friendly and knowledgeable.,positive,Dr. Arjun Desai,Dermatology
16,The level of personalized attention is impressive. I feel valued as a patient.,positive,Dr. Nandini Kapoor,Psychiatry
2,Trustworthy and experienced. I appreciate the proactive approach to preventive care.,positive,Dr. Vikram Mehta,Psychiatry
28,A great diagnostician with a friendly and empathetic demeanor. I trust this doctor completely.,positive,Dr. Anjali Gupta,Psychiatry
20,Highly recommend this doctor. Excellent communication and a patient-focused approach.,positive,Dr. Raj Singhania,Psychiatry
42,The entire office team is friendly and efficient. I appreciate the seamless experience.,positive,Dr. Ananya Sharma,Dermatology
67,"Skilled and caring physician. The doctor takes the time to understand the whole person, not just the symptoms.",positive,Dr. Rohit Patel,Dermatology
43,A dedicated and compassionate professional. Always willing to go the extra mile.,positive,Dr. Priya Reddy,Dermatology
42,Friendly and approachable. The doctor has a talent for making patients feel comfortable.,positive,Dr. Arjun Desai,Dermatology
39,Impressed with the level of attention to patient needs. Thorough and thoughtful care.,positive,Dr. Nandini Kapoor,Psychiatry
31,"The office environment is welcoming, and the doctor is easy to talk to. A positive healthcare experience.",positive,Dr. Vikram Mehta,Psychiatry
49,Knowledgeable and approachable. The doctor takes the time to answer all questions.,positive,Dr. Anjali Gupta,Psychiatry
55,Excellent care with a focus on patient education. A proactive and preventive approach.,positive,Dr. Raj Singhania,Psychiatry
95,A fantastic physician who goes above and beyond for the well-being of patients.,positive,Dr. Ananya Sharma,Dermatology
63,The doctor combines expertise with a friendly and approachable demeanor.,positive,Dr. Rohit Patel,Dermatology
58,Thorough and patient-centered care. The doctor listens and provides thoughtful solutions.,positive,Dr. Priya Reddy,Dermatology
98,"Always a pleasure to visit this doctor. Friendly, professional, and knowledgeable.",positive,Dr. Arjun Desai,Dermatology
54,"The office staff is efficient, and the doctor provides comprehensive care. Highly recommended.",positive,Dr. Nandini Kapoor,Psychiatry
84,A skilled diagnostician with a friendly and approachable manner. Trustworthy and reliable.,positive,Dr. Vikram Mehta,Psychiatry
8,A caring and thorough professional. The entire office team is friendly and efficient.,positive,Dr. Anjali Gupta,Psychiatry
92,Excellent communicator who ensures patients feel heard and valued.,positive,Dr. Raj Singhania,Psychiatry
